WDJ_Name,DR3_source_id,parallax,parallax_error,ra,ra_error,dec,dec_error,absG,bp_rp,SpT,comp,gaia_teff,gaia_teff_err,gaia_logg,gaia_logg_err,gaia_mass,gaia_mass_err,corrected_teff,corrected_mass,corrected_age,bibcode,comment
WDJ202748.03-563031.58,6468965052723781888,27.991742255312733,0.13922092,306.9507028568986,0.116444655,-56.51056148,0.10195396,15.49888465,1.4622536,DZ,H,4139,118,7.816,.085,.470,.040,4359,0.641,9.55,2023MNRAS.518.3055O,
WDJ202749.54-430115.21,6679105566157898880,47.017877602594595,0.07208387,306.95766636088626,0.049920693,-43.024437304,0.04014646,15.54151911,1.1491737,DC,H,4879,40,8.390,.026,.836,.018,4966,0.930,9.72,2023MNRAS.518.3055O,
WDJ202837.91-060842.77,4217793816094052480,28.090753744074537,0.03476667,307.15892488566755,0.03005896,-6.145024577,0.021756744,12.44784396,0.03755951,DA,H,11335,291,8.402,.040,.858,.026,11335,0.858,0.84,2023MNRAS.518.3055O,
WDJ202956.94-643420.13,6429465338016396928,26.786847343667503,0.04393029,307.48934676598947,0.026871184,-64.572251814,0.03223226,13.40102801,0.40101814,DQ,He,7287,67,8.030,.025,.593,.015,7287,0.593,1.53,2023MNRAS.518.3055O,
WDJ203100.56-145041.38,6875432476922523520,26.421470099614655,0.16156611,307.75250488100187,0.13743313,-14.844839792,0.10358984,15.44604889,1.2147026,DC,H,4700,152,8.201,.111,.707,.073,4819,0.822,9.84,2020MNRAS.497..130T,
WDJ203102.15+393454.05,2064284054100290048,28.406371692673495,0.08047764,307.7613181311808,0.063905686,39.582285992,0.07388959,15.14315283,1.2526455,DC,H,4638,77,7.916,.064,.528,.037,4801,0.650,8.25,2020MNRAS.497..130T,
WDJ203109.57-165841.93,6862687522250677376,43.8252568096078,0.06373722,307.788986272223,0.051562965,-16.978023791,0.03222105,14.30112535,0.9045048,DAZ,H,5460,53,7.900,.036,.525,.021,5513,0.556,2.78,2017AJ....154...32S,
WDJ203321.86+395409.76,2064689567732385792,48.20099105867645,0.036887772,308.34127538452407,0.027241161,39.902262011,0.030933062,14.63974384,0.78319645,DA,H,5913,36,8.380,.017,.833,.011,5908,0.829,5.25,2020MNRAS.497..130T,
WDJ203421.89+250349.75,1831553382794173824,67.40845955050386,0.036736973,308.58920706023395,0.026971776,25.061315564,0.029570073,10.68014601,-0.2754326,DAZ,H,20145,402,7.932,.024,.587,.013,20145,0.587,0.05,1996AJ....111.2361H,
WDJ203841.42-364913.60,6683212727417918848,31.603497428504554,0.029983038,309.673797930939,0.023060737,-36.820713922,0.0150466,12.39306073,0.19625187,DA,H,9500,80,8.031,.021,.617,.013,9500,0.617,0.75,2017ApJ...848...11B,
WDJ204234.75-200435.94,6857939315643803776,45.93297534758786,0.042822085,310.6464920929421,0.037352264,-20.077075762,0.01701153,10.68853389,-0.2632227,DA,H,19507,381,7.900,.025,.568,.013,19507,0.568,0.06,2011ApJ...743..138G,
WDJ204349.21-390318.02,6681773947733560192,42.835439744302434,0.022399927,310.95500102382533,0.016940724,-39.056563846,0.011784687,11.90487215,0.042411804,DA,H,11228,138,8.048,.020,.632,.012,11228,0.632,0.50,2011ApJ...743..138G,
WDJ204421.46-680521.36,6424566979354709248,51.09919524779962,0.025467075,311.09157996484674,0.013792389,-68.090280063,0.01952255,11.8815453,-0.18100452,DA,H,16420,267,8.463,.017,.905,.011,16420,0.905,0.34,2018MNRAS.480.3942H,
WDJ204832.02+511047.25,2169971345155578752,25.81926394084028,0.08596358,312.1316516720466,0.06979445,51.178970711,0.07453588,14.89718229,1.1653557,DC,H,4902,67,7.937,.056,.542,.033,5031,0.633,6.84,2020MNRAS.497..130T,
WDJ204906.70+372814.05,1871118140493076224,56.86464999528999,0.019170428,312.2788230257468,0.013367498,37.471227965,0.015337529,11.81000585,-0.12300396,DAP,H,14710,200,8.297,.015,.796,.010,14710,0.796,0.35,2018MNRAS.480.3942H,
WDJ204911.00-544617.50,6470278694244646912,25.478978250969046,0.03837481,312.2972637957969,0.030684888,-54.772764049,0.027345186,13.02511304,0.4296379,DA,H,7552,61,7.909,.024,.541,.013,7552,0.541,1.14,2023MNRAS.518.3055O,
WDJ205020.65+263040.76,1844125748497557632,52.2405887964418,0.0313769,312.5839931387123,0.023094911,26.509985873,0.021082785,13.98261532,1.125413,DA,H,4909,19,7.270,.016,.267,.004,5154,0.357,2.08,2018MNRAS.480.3942H,Double degenerate candidate
